fecha,referencia,descripcion,cargo,abono,saldo
2026-09-11,SPEI 700410,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,171284.98,,5656566.79
2026-09-11,SPEI 700414,SPEI ENVIADO EMPAQUES Y CARTÓN BAJÍ,33152.52,,5623414.27
2026-09-11,SPEI 700420,SPEI ENVIADO SERVICIOS TÉCNICOS RAM,196530.69,,5426883.58
2026-09-11,SPEI 748219,SPEI RECIBIDO GRUPO FERRETERO DEL BAJIO,,487300.00,5914183.58
2026-09-14,DEP 0471,DEPOSITO EFECTIVO SUCURSAL 0471,,93600.00,6007783.58
2026-09-14,SPEI 700436,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,290636.01,6298419.59
2026-09-14,SPEI 700447,SPEI RECIBIDO COMERCIALIZADORA SONOR,,39838.78,6338258.37
2026-09-14,SPEI 700462,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,92878.35,,6245380.02
2026-09-14,SPEI 700478,SPEI ENVIADO SEGUROS PATRIMONIALES ,34856.22,,6210523.80
2026-09-15,DISP NOMINA,DISPERSION NOMINA ELECTRONICA,1284500.00,,4926023.80
2026-09-15,SPEI 700484,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,304413.08,5230436.88
2026-09-15,SPEI 700497,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,76504.61,5306941.49
2026-09-15,SPEI 700506,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,232806.53,5539748.02
2026-09-15,SPEI 700516,SPEI ENVIADO ACEROS MONCLOVA,113241.36,,5426506.66
2026-09-17,PAGO SAT 0398412,PAGO REFERENCIADO SAT,742318.00,,4684188.66
2026-09-17,SPEI 700524,SPEI RECIBIDO ACEROS Y PERFILES DEL ,,168306.23,4852494.89
2026-09-17,SPEI 700541,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,217195.47,5069690.36
2026-09-17,SPEI 700558,SPEI ENVIADO MANTENIMIENTO INDUSTRI,185580.93,,4884109.43
2026-09-17,SPEI 700571,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,172722.53,,4711386.90
2026-09-17,SPEI 700587,SPEI ENVIADO PAPELERÍA CORPORATIVA ,174305.22,,4537081.68
2026-09-18,CARGO SERV,CARGO SERVICIO ADMON EMPRESARIAL,12500.00,,4524581.68
2026-09-18,CARGO SERV,CARGO SERVICIO ADMON EMPRESARIAL,12500.00,,4512081.68
2026-09-18,SPEI 700594,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,64866.63,4576948.31
2026-09-18,SPEI 700607,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,193014.97,4769963.28
2026-09-18,SPEI 700622,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,115115.65,4885078.93
2026-09-18,SPEI 700636,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,66270.35,4951349.28
2026-09-18,SPEI 700643,SPEI ENVIADO SERVICIOS TÉCNICOS RAM,50560.31,,4900788.97
2026-09-19,REF 88213,CARGO NO RECONOCIDO REF 88213,34900.00,,4865888.97
2026-09-21,PAGO IMSS 55120,PAGO REFERENCIADO IMSS,268940.00,,4596948.97
2026-09-21,SPEI 700647,SPEI RECIBIDO CONSTRUCTORA PENINSULA,,266282.91,4863231.88
2026-09-21,SPEI 700660,SPEI RECIBIDO COMERCIALIZADORA SONOR,,274381.01,5137612.89
2026-09-21,SPEI 700663,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,315599.09,5453211.98
2026-09-21,SPEI 700682,SPEI ENVIADO SERVICIOS TÉCNICOS RAM,145670.02,,5307541.96
2026-09-22,SPEI 700701,SPEI RECIBIDO SUMINISTROS ELÉCTRICOS,,73699.24,5381241.20
2026-09-22,SPEI 700705,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,180738.03,5561979.23
2026-09-22,SPEI 700709,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,138896.14,5700875.37
2026-09-22,SPEI 700714,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,186892.60,,5513982.77
2026-09-22,SPEI 700725,SPEI ENVIADO ACEROS MONCLOVA,151409.01,,5362573.76
2026-09-22,SPEI 751904,SPEI ENVIADO ACEROS MONCLOVA,48590.00,,5313983.76
2026-09-23,SPEI 700729,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,234755.36,5548739.12
2026-09-23,SPEI 700733,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,294986.62,5843725.74
2026-09-23,SPEI 700739,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,163855.84,6007581.58
2026-09-23,SPEI 700757,SPEI RECIBIDO ACEROS Y PERFILES DEL ,,221559.83,6229141.41
2026-09-23,SPEI 700776,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,141068.73,,6088072.68
2026-09-24,ARREND OFICINA,TRANSFERENCIA ARRENDAMIENTO,145000.00,,5943072.68
2026-09-24,SPEI 700784,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,150213.60,6093286.28
2026-09-24,SPEI 700800,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,273279.74,6366566.02
2026-09-24,SPEI 700803,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,24701.77,,6341864.25
2026-09-24,SPEI 700821,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,51091.15,,6290773.10
2026-09-24,SPEI 700838,SPEI ENVIADO MANTENIMIENTO INDUSTRI,161977.18,,6128795.92
2026-09-25,SPEI 700847,SPEI RECIBIDO COMERCIALIZADORA SONOR,,94417.86,6223213.78
2026-09-25,SPEI 700863,SPEI RECIBIDO ACEROS Y PERFILES DEL ,,318450.46,6541664.24
2026-09-25,SPEI 700872,SPEI RECIBIDO COMERCIALIZADORA SONOR,,76138.77,6617803.01
2026-09-25,SPEI 700875,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,293411.75,6911214.76
2026-09-25,SPEI 700878,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,53910.75,,6857304.01
2026-09-25,SPEI INT 4402,"PAGO INTERNACIONAL USD 9,600.00",184320.50,,6672983.51
2026-09-28,SPEI 700894,SPEI RECIBIDO SUMINISTROS ELÉCTRICOS,,234469.05,6907452.56
2026-09-28,SPEI 700910,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,200376.91,7107829.47
2026-09-28,SPEI 700924,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,283473.95,7391303.42
2026-09-28,SPEI 700932,SPEI RECIBIDO CONSTRUCTORA PENINSULA,,286964.01,7678267.43
2026-09-28,SPEI 700943,SPEI ENVIADO SEGUROS PATRIMONIALES ,48451.70,,7629815.73
2026-09-28,SPEI 700947,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,140060.34,,7489755.39
2026-09-29,SPEI 700950,SPEI RECIBIDO CONSTRUCTORA PENINSULA,,180613.10,7670368.49
2026-09-29,SPEI 700953,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,163761.35,7834129.84
2026-09-29,SPEI 700972,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,297192.92,8131322.76
2026-09-29,SPEI 700985,SPEI ENVIADO EMPAQUES Y CARTÓN BAJÍ,120797.28,,8010525.48
2026-09-29,SPEI 700996,SPEI ENVIADO SEGUROS PATRIMONIALES ,17543.12,,7992982.36
2026-09-30,COM 0930,COMISION MANEJO DE CUENTA,1450.00,,7991532.36
2026-09-30,COM SPEI,COMISION SPEI ENVIADOS (87 OPS),890.00,,7990642.36
2026-09-30,DISP NOMINA,DISPERSION NOMINA ELECTRONICA,1291240.00,,6699402.36
2026-09-30,INT GAN,INTERESES GANADOS INVERSION,,8742.15,6708144.51
2026-09-30,ISR INT,ISR RETENIDO INTERESES,1223.90,,6706920.61
2026-09-30,IVA COM,IVA COMISIONES,374.40,,6706546.21
2026-09-30,SPEI 701009,SPEI RECIBIDO ACEROS Y PERFILES DEL ,,298503.54,7005049.75
2026-09-30,SPEI 701012,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,279085.85,7284135.60
2026-09-30,SPEI 701016,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,114596.59,,7169539.01
2026-09-30,SPEI 701027,SPEI ENVIADO SERVICIOS TÉCNICOS RAM,123259.38,,7046279.63
2026-09-30,TRASP INV,TRASPASO A CUENTA INVERSION 7781,250000.00,,6796279.63
