fecha,poliza,concepto,tercero,cargo,abono
2026-09-14,EGR-0042,Pago proveedor Transportes Rápidos del Centro,Transportes Rápidos del Centro,,92878.35
2026-09-14,ING-0040,Cobro FAC-2270,Grupo Logístico Altamira,290636.01,
2026-09-14,ING-0041,Cobro FAC-2271,Comercializadora Sonora,39838.78,
2026-09-15,EGR-0047,Pago proveedor Aceros Monclova,Aceros Monclova,,113241.36
2026-09-15,ING-0044,Cobro FAC-2272,Grupo Logístico Altamira,304413.08,
2026-09-15,ING-0045,Cobro FAC-2273,Grupo Logístico Altamira,76504.61,
2026-09-15,ING-0046,Cobro FAC-2274,Refacciones Industriales MTY,232806.53,
2026-09-15,ING-0048,Cobro FAC-2275,Aceros y Perfiles del Golfo,168306.23,
2026-09-15,ING-0049,Cobro FAC-2276,Grupo Ferretero del Bajío,217195.47,
2026-09-15,NOM-0097,Nómina 15/09/2026,Personal,,1284500.00
2026-09-17,EGR-0050,Pago proveedor Mantenimiento Industrial Torres,Mantenimiento Industrial Torres,,185580.93
2026-09-17,EGR-0051,Pago proveedor Energía Industrial SA,Energía Industrial SA,,172722.53
2026-09-17,EGR-0052,Pago proveedor Papelería Corporativa MX,Papelería Corporativa MX,,174305.22
2026-09-17,EGR-0065,Pago proveedor Energía Industrial SA,Energía Industrial SA,,186892.60
2026-09-17,IMP-0099,ISR e IVA agosto 2026,SAT,,742318.00
2026-09-17,ING-0059,Cobro FAC-2282,Comercializadora Sonora,274381.01,
2026-09-18,EGR-0057,Pago proveedor Servicios Técnicos Ramírez,Servicios Técnicos Ramírez,,50560.31
2026-09-18,EGR-0066,Pago proveedor Aceros Monclova,Aceros Monclova,,151409.01
2026-09-18,EGR-0108,Servicio admón. empresarial,BBVA México,,12500.00
2026-09-18,ING-0053,Cobro FAC-2277,Grupo Ferretero del Bajío,64866.63,
2026-09-18,ING-0054,Cobro FAC-2278,Grupo Logístico Altamira,193014.97,
2026-09-18,ING-0055,Cobro FAC-2279,Grupo Ferretero del Bajío,115115.65,
2026-09-18,ING-0056,Cobro FAC-2280,Distribuidora Alfa Norte,66270.35,
2026-09-21,EGR-0061,Pago proveedor Servicios Técnicos Ramírez,Servicios Técnicos Ramírez,,145670.02
2026-09-21,IMP-0100,Cuotas IMSS agosto 2026,IMSS,,268940.00
2026-09-21,ING-0058,Cobro FAC-2281,Constructora Peninsular,266282.91,
2026-09-21,ING-0060,Cobro FAC-2283,Grupo Logístico Altamira,315599.09,
2026-09-22,EGR-0071,Pago proveedor Transportes Rápidos del Centro,Transportes Rápidos del Centro,,141068.73
2026-09-22,EGR-0109,Pago parcial OC-8841,Aceros Monclova,,45890.00
2026-09-22,ING-0062,Cobro FAC-2284,Suministros Eléctricos Querétaro,73699.24,
2026-09-22,ING-0063,Cobro FAC-2285,Grupo Logístico Altamira,180738.03,
2026-09-22,ING-0064,Cobro FAC-2286,Refacciones Industriales MTY,138896.14,
2026-09-22,ING-0069,Cobro FAC-2289,Refacciones Industriales MTY,163855.84,
2026-09-22,ING-0070,Cobro FAC-2290,Aceros y Perfiles del Golfo,221559.83,
2026-09-23,EGR-0075,Pago proveedor Energía Industrial SA,Energía Industrial SA,,51091.15
2026-09-23,ING-0067,Cobro FAC-2287,Distribuidora Alfa Norte,234755.36,
2026-09-23,ING-0068,Cobro FAC-2288,Distribuidora Alfa Norte,294986.62,
2026-09-23,ING-0077,Cobro FAC-2293,Comercializadora Sonora,94417.86,
2026-09-24,EGR-0074,Pago proveedor Energía Industrial SA,Energía Industrial SA,,24701.77
2026-09-24,EGR-0076,Pago proveedor Mantenimiento Industrial Torres,Mantenimiento Industrial Torres,,161977.18
2026-09-24,EGR-0091,Pago proveedor Empaques y Cartón Bajío,Empaques y Cartón Bajío,,120797.28
2026-09-24,EGR-0103,Renta oficinas septiembre,Inmobiliaria del Valle,,145000.00
2026-09-24,ING-0072,Cobro FAC-2291,Grupo Ferretero del Bajío,150213.60,
2026-09-24,ING-0073,Cobro FAC-2292,Refacciones Industriales MTY,273279.74,
2026-09-24,ING-0079,Cobro FAC-2295,Comercializadora Sonora,76138.77,
2026-09-24,ING-0084,Cobro FAC-2299,Refacciones Industriales MTY,283473.95,
2026-09-25,EGR-0081,Pago proveedor Transportes Rápidos del Centro,Transportes Rápidos del Centro,,53910.75
2026-09-25,EGR-0110,"Pago USD 9,600 OC-8902 (TC 19.1953)",Global Bearings Corp,,184275.00
2026-09-25,ING-0078,Cobro FAC-2294,Aceros y Perfiles del Golfo,318450.46,
2026-09-25,ING-0080,Cobro FAC-2296,Grupo Logístico Altamira,293411.75,
2026-09-28,EGR-0086,Pago proveedor Seguros Patrimoniales del Norte,Seguros Patrimoniales del Norte,,48451.70
2026-09-28,EGR-0087,Pago proveedor Transportes Rápidos del Centro,Transportes Rápidos del Centro,,140060.34
2026-09-28,ING-0082,Cobro FAC-2297,Suministros Eléctricos Querétaro,234469.05,
2026-09-28,ING-0083,Cobro FAC-2298,Refacciones Industriales MTY,200376.91,
2026-09-28,ING-0085,Cobro FAC-2300,Constructora Peninsular,286964.01,
2026-09-28,ING-0089,Cobro FAC-2302,Refacciones Industriales MTY,163761.35,
2026-09-29,EGR-0092,Pago proveedor Seguros Patrimoniales del Norte,Seguros Patrimoniales del Norte,,17543.12
2026-09-29,EGR-0107,Cheque 10847 - anticipo obra,Mantenimiento Industrial Torres,,67800.00
2026-09-29,ING-0088,Cobro FAC-2301,Constructora Peninsular,180613.10,
2026-09-29,ING-0090,Cobro FAC-2303,Distribuidora Alfa Norte,297192.92,
2026-09-30,EGR-0095,Pago proveedor Energía Industrial SA,Energía Industrial SA,,114596.59
2026-09-30,EGR-0096,Pago proveedor Servicios Técnicos Ramírez,Servicios Técnicos Ramírez,,123259.38
2026-09-30,ING-0093,Cobro FAC-2304,Aceros y Perfiles del Golfo,298503.54,
2026-09-30,ING-0094,Cobro FAC-2305,Grupo Logístico Altamira,279085.85,
2026-09-30,NOM-0098,Nómina 30/09/2026,Personal,,1291240.00
